[2024-06-01 19:16:37.858]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-01 19:16:37.869]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-01 19:16:38.010]	 Already installed "tmux-resurrect"
[2024-06-01 19:16:38.023]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-01 19:16:38.136]	 Updating all plugins!
[2024-06-01 19:16:38.137]	 
[2024-06-01 19:16:38.896]	   "tmux-resurrect" update success
[2024-06-01 19:16:38.898]	     | Already up to date.
[2024-06-01 19:16:38.911]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-01 19:16:38.968]	 Done.

[2024-06-01 19:16:58.760]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-01 19:16:58.772]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-01 19:16:58.912]	 Already installed "tmux-resurrect"
[2024-06-01 19:16:58.924]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-01 19:16:59.036]	 Updating all plugins!
[2024-06-01 19:16:59.037]	 
[2024-06-01 19:16:59.835]	   "tmux-resurrect" update success
[2024-06-01 19:16:59.837]	     | Already up to date.
[2024-06-01 19:16:59.849]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-01 19:16:59.893]	 Done.

[2024-06-02 00:27:14.401]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-02 00:27:14.413]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-02 00:27:14.701]	 Already installed "tmux-resurrect"
[2024-06-02 00:27:14.714]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-02 00:27:14.954]	 Updating all plugins!
[2024-06-02 00:27:14.954]	 
[2024-06-02 00:27:15.784]	   "tmux-resurrect" update success
[2024-06-02 00:27:15.785]	     | Already up to date.
[2024-06-02 00:27:15.798]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-02 00:27:15.846]	 Done.

[2024-06-02 19:12:13.237]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-02 19:12:13.259]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-02 19:12:13.592]	 Already installed "tmux-resurrect"
[2024-06-02 19:12:13.654]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-02 19:12:13.902]	 Updating all plugins!
[2024-06-02 19:12:13.903]	 
[2024-06-02 19:12:14.702]	   "tmux-resurrect" update success
[2024-06-02 19:12:14.704]	     | Already up to date.
[2024-06-02 19:12:14.717]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-02 19:12:14.771]	 Done.

[2024-06-02 19:52:25.246]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-02 19:52:25.258]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-02 19:52:25.577]	 Already installed "tmux-resurrect"
[2024-06-02 19:52:25.591]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-02 19:52:25.846]	 Updating all plugins!
[2024-06-02 19:52:25.846]	 
[2024-06-02 19:52:26.704]	   "tmux-resurrect" update success
[2024-06-02 19:52:26.706]	     | Already up to date.
[2024-06-02 19:52:26.718]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-02 19:52:26.765]	 Done.

[2024-06-02 21:20:50.665]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-02 21:20:50.677]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-02 21:20:50.952]	 Already installed "tmux-resurrect"
[2024-06-02 21:20:50.964]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-02 21:20:51.228]	 Updating all plugins!
[2024-06-02 21:20:51.228]	 
[2024-06-02 21:20:52.084]	   "tmux-resurrect" update success
[2024-06-02 21:20:52.088]	     | Already up to date.
[2024-06-02 21:20:52.109]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-02 21:20:52.207]	 Done.

[2024-06-08 08:41:11.292]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-08 08:41:11.303]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-08 08:41:11.494]	 Already installed "tmux-resurrect"
[2024-06-08 08:41:11.506]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 08:41:11.667]	 Updating all plugins!
[2024-06-08 08:41:11.667]	 
[2024-06-08 08:41:12.284]	   "tmux-resurrect" update success
[2024-06-08 08:41:12.286]	     | Already up to date.
[2024-06-08 08:41:12.298]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 08:41:12.345]	 Done.

[2024-06-23 21:25:30.906]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-06-23 21:25:30.920]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-06-23 21:25:31.113]	 Already installed "tmux-resurrect"
[2024-06-23 21:25:31.126]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-06-23 21:25:31.292]	 Updating all plugins!
[2024-06-23 21:25:31.293]	 
[2024-06-23 21:25:31.859]	   "tmux-resurrect" update success
[2024-06-23 21:25:31.862]	     | Already up to date.
[2024-06-23 21:25:31.874]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-06-23 21:25:31.925]	 Done.

[2024-07-01 23:04:58.297]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-01 23:04:58.309]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-01 23:04:58.502]	 Already installed "tmux-resurrect"
[2024-07-01 23:04:58.515]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-01 23:04:58.681]	 Updating all plugins!
[2024-07-01 23:04:58.682]	 
[2024-07-01 23:04:59.297]	   "tmux-resurrect" update success
[2024-07-01 23:04:59.299]	     | Already up to date.
[2024-07-01 23:04:59.311]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-01 23:04:59.360]	 Done.

[2024-07-02 20:27:58.298]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-02 20:27:58.311]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-02 20:27:58.500]	 Already installed "tmux-resurrect"
[2024-07-02 20:27:58.513]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-02 20:27:58.681]	 Updating all plugins!
[2024-07-02 20:27:58.681]	 
[2024-07-02 20:27:59.217]	   "tmux-resurrect" update success
[2024-07-02 20:27:59.219]	     | Already up to date.
[2024-07-02 20:27:59.232]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-02 20:27:59.287]	 Done.

[2024-07-03 10:32:12.071]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-03 10:32:12.083]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-03 10:32:12.369]	 Already installed "tmux-resurrect"
[2024-07-03 10:32:12.382]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-03 10:32:12.644]	 Updating all plugins!
[2024-07-03 10:32:12.644]	 
[2024-07-03 10:32:13.365]	   "tmux-resurrect" update success
[2024-07-03 10:32:13.367]	     | Already up to date.
[2024-07-03 10:32:13.379]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-03 10:32:13.438]	 Done.

[2024-07-03 10:32:19.799]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-03 10:32:19.812]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-03 10:32:19.983]	 Already installed "tmux-resurrect"
[2024-07-03 10:32:19.995]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-03 10:32:20.110]	 Updating all plugins!
[2024-07-03 10:32:20.111]	 
[2024-07-03 10:32:20.836]	   "tmux-resurrect" update success
[2024-07-03 10:32:20.838]	     | Already up to date.
[2024-07-03 10:32:20.850]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-03 10:32:20.894]	 Done.

[2024-07-12 01:05:44.403]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-12 01:05:44.415]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-12 01:05:44.662]	 Already installed "tmux-resurrect"
[2024-07-12 01:05:44.675]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-12 01:05:44.904]	 Updating all plugins!
[2024-07-12 01:05:44.904]	 
[2024-07-12 01:05:45.777]	   "tmux-resurrect" update success
[2024-07-12 01:05:45.779]	     | Already up to date.
[2024-07-12 01:05:45.793]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-12 01:05:45.844]	 Done.

[2024-07-19 10:39:26.912]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-19 10:39:26.925]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-19 10:39:27.125]	 Already installed "tmux-resurrect"
[2024-07-19 10:39:27.139]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-19 10:39:27.294]	 Updating all plugins!
[2024-07-19 10:39:27.294]	 
[2024-07-19 10:39:27.828]	   "tmux-resurrect" update success
[2024-07-19 10:39:27.830]	     | Already up to date.
[2024-07-19 10:39:27.843]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-19 10:39:27.901]	 Done.

[2024-07-25 18:43:25.091]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-25 18:43:25.104]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-25 18:43:25.306]	 Already installed "tmux-resurrect"
[2024-07-25 18:43:25.319]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-25 18:43:25.469]	 Updating all plugins!
[2024-07-25 18:43:25.470]	 
[2024-07-25 18:43:26.312]	   "tmux-resurrect" update success
[2024-07-25 18:43:26.315]	     | Already up to date.
[2024-07-25 18:43:26.327]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-25 18:43:26.386]	 Done.

[2024-07-26 00:15:47.640]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 00:15:47.652]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 00:15:47.913]	 Already installed "tmux-resurrect"
[2024-07-26 00:15:47.927]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 00:15:48.149]	 Updating all plugins!
[2024-07-26 00:15:48.149]	 
[2024-07-26 00:15:48.941]	   "tmux-resurrect" update success
[2024-07-26 00:15:48.943]	     | Already up to date.
[2024-07-26 00:15:48.955]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 00:15:48.999]	 Done.

[2024-07-26 00:16:28.544]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 00:16:28.555]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 00:16:28.748]	 Already installed "tmux-resurrect"
[2024-07-26 00:16:28.761]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 00:16:28.918]	 Updating all plugins!
[2024-07-26 00:16:28.918]	 
[2024-07-26 00:16:29.751]	   "tmux-resurrect" update success
[2024-07-26 00:16:29.753]	     | Already up to date.
[2024-07-26 00:16:29.765]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 00:16:29.811]	 Done.

[2024-07-26 00:16:48.267]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 00:16:48.279]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 00:16:48.472]	 Already installed "tmux-resurrect"
[2024-07-26 00:16:48.486]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 00:16:48.643]	 Updating all plugins!
[2024-07-26 00:16:48.643]	 
[2024-07-26 00:16:49.394]	   "tmux-resurrect" update success
[2024-07-26 00:16:49.397]	     | Already up to date.
[2024-07-26 00:16:49.409]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 00:16:49.454]	 Done.

[2024-07-26 00:16:58.389]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 00:16:58.401]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 00:16:58.602]	 Already installed "tmux-resurrect"
[2024-07-26 00:16:58.615]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 00:16:58.764]	 Updating all plugins!
[2024-07-26 00:16:58.764]	 
[2024-07-26 00:16:59.571]	   "tmux-resurrect" update success
[2024-07-26 00:16:59.573]	     | Already up to date.
[2024-07-26 00:16:59.585]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 00:16:59.630]	 Done.

[2024-07-26 00:18:11.239]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 00:18:11.251]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 00:18:11.562]	 Already installed "tmux-resurrect"
[2024-07-26 00:18:11.575]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 00:18:11.863]	 Updating all plugins!
[2024-07-26 00:18:11.864]	 
[2024-07-26 00:18:12.669]	   "tmux-resurrect" update success
[2024-07-26 00:18:12.671]	     | Already up to date.
[2024-07-26 00:18:12.684]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 00:18:12.728]	 Done.

[2024-07-26 10:00:22.675]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 10:00:22.687]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
